"";"x";"y"
"1";" acontentar-se ";"1"
"2";" admiració ";"1"
"3";" admirar ";"1"
"4";" adorar ";"1"
"5";" afavorir ";"1"
"6";" afecte ";"1"
"7";" afectuositat ";"1"
"8";" afectuós ";"1"
"9";" afició ";"1"
"10";" afortunat ";"1"
"11";" agradar ";"1"
"12";" alegrar ";"1"
"13";" alegrar-se ";"1"
"14";" alegre ";"1"
"15";" alegria ";"1"
"16";" alleugerir ";"1"
"17";" amar ";"1"
"18";" amor ";"1"
"19";" amorós ";"1"
"20";" anhel ";"1"
"21";" animar ";"1"
"22";" animat ";"1"
"23";" apassionat ";"1"
"24";" apreci ";"1"
"25";" aprovat ";"1"
"26";" aprovatori ";"1"
"27";" ardent ";"1"
"28";" assossegat ";"1"
"29";" autosatisfacció ";"1"
"30";" avidesa ";"1"
"31";" benefactor ";"1"
"32";" benefici ";"1"
"33";" beneficiós ";"1"
"34";" beneficència ";"1"
"35";" benevolència ";"1"
"36";" benèfic ";"1"
"37";" bo ";"1"
"38";" bondat ";"1"
"39";" bonic ";"1"
"40";" bé ";"1"
"41";" calmat ";"1"
"42";" captivador ";"1"
"43";" complaença ";"1"
"44";" complagut ";"1"
"45";" confiança ";"1"
"46";" confortar ";"1"
"47";" consolar ";"1"
"48";" content ";"1"
"49";" contentació ";"1"
"50";" convençut ";"1"
"51";" correcte ";"1"
"52";" càlid ";"1"
"53";" delectar ";"1"
"54";" destre ";"1"
"55";" divertir ";"1"
"56";" dolç ";"1"
"57";" embriagar ";"1"
"58";" emoció ";"1"
"59";" enamorament ";"1"
"60";" encertat ";"1"
"61";" encisador ";"1"
"62";" encoratjar ";"1"
"63";" engatar ";"1"
"64";" enginyós ";"1"
"65";" engrescar ";"1"
"66";" ensopiment ";"1"
"67";" entusiasme ";"1"
"68";" entusiasta ";"1"
"69";" envalentir ";"1"
"70";" eròtic ";"1"
"71";" estima ";"1"
"72";" estimació ";"1"
"73";" estimar ";"1"
"74";" estimulador ";"1"
"75";" estimulant ";"1"
"76";" eufòria ";"1"
"77";" eufòric ";"1"
"78";" excel·lent ";"1"
"79";" excitació ";"1"
"80";" exhuberància ";"1"
"81";" expert ";"1"
"82";" extasiar ";"1"
"83";" exultació ";"1"
"84";" fascinant ";"1"
"85";" favorable ";"1"
"86";" felicitat ";"1"
"87";" feliç ";"1"
"88";" fervent ";"1"
"89";" fervorós ";"1"
"90";" fratern ";"1"
"91";" fraternal ";"1"
"92";" fruir ";"1"
"93";" gaubança ";"1"
"94";" gaudir ";"1"
"95";" grat ";"1"
"96";" gratitud ";"1"
"97";" hilarant ";"1"
"98";" hilaritat ";"1"
"99";" honorar ";"1"
"100";" honrar ";"1"
"101";" honrat ";"1"
"102";" hàbil ";"1"
"103";" ideal ";"1"
"104";" idoni ";"1"
"105";" interès ";"1"
"106";" intoxicar ";"1"
"107";" jocunditat ";"1"
"108";" jocós ";"1"
"109";" joia ";"1"
"110";" jovial ";"1"
"111";" jovialitat ";"1"
"112";" just ";"1"
"113";" languiment ";"1"
"114";" llangor ";"1"
"115";" lleialtat ";"1"
"116";" magnífic ";"1"
"117";" manyós ";"1"
"118";" optimista ";"1"
"119";" optimístic ";"1"
"120";" plaure ";"1"
"121";" plàcid ";"1"
"122";" positiu ";"1"
"123";" preferència ";"1"
